;link;title;description;category;transcriptions
110;jNEXjr6Z68;Tutoriel : Faire voyager une pièce - Tour de magie facile avec une pièce;"Tutoriel : Faire voyager une pièce - Tour de magie facile avec une pièce - Téléportation : Pour faire voyager une pièce d'une main à l'autre par magie, tout repose sur une petite illusion de téléportation. Ce tutoriel vous apprendra à faire voyager un objet par magie avec téléportation.

Ceci est une vidéo pratique faite pour Clipflip. 
Si vous aussi désirez en faire et gagner ainsi de l'argent, n'hésitez pas à nous rejoindre sur  ou bien regardez nos autres vidéos tutoriels sur ";tutoriel; 
111;27Z3mWOQnTQ;Tutoriel de préparation de la CARTE PAPILLON (Français);"Suivez très attentivement ce tutoriel afin de préparer de façon optimale vos CARTES PAPILLONS.

Utiliser cette carte avec 1 Papillon Magique® inclu pour faire participer votre entourage à la magie de votre évènement. À utiliser en complément des Livrets, comme une carte magique 100% interactive pour votre famille, vos amis, vos invités ou tout simplement comme un faire-part original à envoyer par la Poste. À l'intérieur ou à l'extérieur, Succès garanti !

Sachez que les Papillons Magiques sont réutilisables à volonté :-)

Multipliez les CARTES PAPILLONS pour créer toujours plus de magie !

Une invention originale imaginée et fabriquée en France par l'inventeur Magic Flyer International. Carte Papillon Magique®, © 2019 and Patent Magic Flyer® International. Tous droits réservés. Reproduction strictement interdite. 

Plus d'informations : 

Résumé de la préparation de la CARTE PAPILLON (Durée : 30 secondes par carte) :

1 - Maintenir fermement le Papillon Magique entre le pouce et l'index

2 - Remonter les ailes du haut 50 tours complets

3 - Glissez le Papillons Magique® au centre de la carte

4 - Fermer la carte à l'aide de la languette

5 - Avec ou sans enveloppe, prêts à créer la magie ?

6 - Waouh !!!";tutoriel; 
112;kINZMjys3O4;Faire un nœud de cravate - tutoriel cravate;"Faire un nœud de cravate - apprenez grâce au tutoriel à faire un noeud de cravate pour vos chemises!

B General Channel";tutoriel;  bonjour tout le monde en cette période de fêtes je vais vous apprendre comment réaliser un noeud de cravate donc pour ça il vous faut juste une cravate et une chemise avec un col à bord donc on relève son col on place la cravate derrière son col de cette manière le côté plus gros se trouve à votre droite et le côté plus faim se trouve à votre gauche on tire le côté plus gros pour que le plus coté plus femme la pointe de ce côté ci doit votre cinquième bouton donc 1er 2e 3e 4e 5e moi je descends un clic et voilà alors ensuite vous prenez la partie plus grosse et vous la passe et sur la partie plus film vous prenez le bout et vous la placez dans ce trou si donc vous prennez comme ceci vous passer ici par derrière voilà donc là pour le moment ça vous fait un simple noeud comme un oeuf chaussures les superposer vous prenez la partie plus épaisse et vous a fait tourner vers la droite comme ceux ci vers la droite vous l'a fait passer sous sous le nom donc elles arrivent ici vers votre gauche encore une fois vers la droite et la nouvelle vision petite boucle comme ceux ci comme ceux ci il prenait votre cravate il voulait placer dans ici donc entre votre coup les 9 et le bout se passe dans la boucle ici c'est vous tirer ce qui vous donne une belle cravate voilà donc je vais refaire de manière plus rapide à vitesse normale donc goûter faites votre travail vous l'a positionné au cinquième bout ton côté droit ils se superposent et ils passent dans le trou on sert un petit peu le côté droit donc le côté gros va vers la droite passent derrière quand il est passé derrière il repasse devant tout en faisant une boucle en place le gros entre le coût et la cravate et ensuite on passe 20 boucles que nous avons fait précédemment et on ti pour ajuster la cravate il suffit ici de tirer ce n'est de reserrer en tirant la grosse langue est et pour raccourcir la cravate on tire la petite blague il nous suffit de rabattre notre colle comme ceux ci et vous êtes prêt pour les fêtes j'espère que cette vidéo vous a plus que vous avez bien compris essayé plusieurs fois avec différents types de cravates pour trouver vraiment la longueur pour que ça arrive jusqu'à la semaine culture donc moi je vous dis à bientôt de très joyeuses fêtes et au revoir
113;MEk58jvzRh8;Leçon de piano n°6 : Tutoriel Les Champs Elysées;"Description : Voici un petit tutoriel vous aidant à jouer un classique de la chanson française, ""Les Champs Elysées"". ATTENTION : Cette vidéo représente un suivi et n'est pas indépendante ! Pour la voir dans son contexte, cliquez ici : http://unpianiste.com/cours-de-piano-...

Partition du morceau : 

Site internet : 
(cours de piano gratuits, partitions gratuites, et plein de tutoriels pour le piano)

Facebook : 
Twitter : 
Google+ : 
Pinterest : 
Souncloud : 

Albums disponibles ici : 
iTunes : 
Google play : ";tutoriel;  donc pour jouer les champs-elysées je vous invite fortement à les voir sur mon site pour la partition parce que je vais me baser beaucoup sur celle ci alors c'est une partition où il ya la mélodie le champ en fait écrit à la main à la main droite enflée de sol et où les avec l'accord seulement voilà donc c'est très pratique si on veut l'accompagner à la guitare et si on veut jouer au piano hautbois jeu les accords d'un gaucher puis elle me le dis à ma droite comme d'habitude donc on va les jouer la manière suivante d'abord je vous donnais comment faire les accords donc un la ados 12 min ensuite un dos dies 7e qu'on va renverser à la quinte donc c'est moi seul ya six de dieuze femmes ensuite un fa dièse mineur se tiennent dans mall fa dièse la de 10 me ensuite à la 7è convergeaient qu'on va renverser à la carte mitzel intention de solliciter normal la de diaz ensuite arrêt fa dièse la reine qu'on va pas d'oreilles ensuite à la plupart ainsi 7e fera liesse de la cire et diez il ya mis 7e min seuls 6 alors on va les taper sur les temps donc par exemple comme chaque accord durent deux temps à part à la fin du couple et ou du refrain ou le silo mi dure qu'un temps chacun met donc on ne tapera qu'une fois à ce moment là mais pour de tentes à deux fois donc 1 voilà maintenant je vais jouer avec la main droite avec la mélodie donc c'est un exercice à s'entraîner à la main gauche il faut bien connaître ces accords ce que je donne n'est pas non plus pour les tous débutants donc on y va c'est parti il e voilà donc ça c'était pour la chanson avec l'accompagnement accord sympathique donc si vous levez la guitare c'est pareil on vous gratter sur l'étang fait gratter le d'accord sur l'état voilà
114;gQIhwTrSE;Tutoriel origami : fabriquer une fleur origami (Hellokids);"Pour vous abonner à notre chaîne, c'est par ici : http://bit.ly/1QnSfwT

Ce tutoriel origami fleur vous montre les différentes étapes pour réaliser une magnifique fleur en papier, un origami facile à réaliser par les enfants.
Tous les détails sur Hellokids.com : 

-------------------------

N°1 des sites pour enfants en France, Hellokids.com vous propose des centaines de vidéos inédites : tutoriels de bricolage et activités manuelles , tutoriels de dessin, animations en stop motion, dessins animés, vidéos de tours de magie ou encore d'expériences scientifiques et plein d'activités originales pour toute la famille !

Pour vous abonner à notre chaîne, c'est par ici : 

Notre site web et mobile : 

Notre page Facebook : ";tutoriel; 
115;n2cyb5OMB;Spirit Of Samba - Tutoriel #1 avec Denitsa Ikonomova & Maxime Dereymez;"Tutoriel #1 : https://www.youtube.com/watch?v=n2cyb...
Tutoriel #2 : https://www.youtube.com/watch?v=JOlsk...
Tutoriel #3 : https://www.youtube.com/watch?v=c1nP9...
Tutoriel #4 : 
---
Crédits 
Danseurs: Denitsa Ikonomova & Maxime Dereymez
Réalisateur: Marc Obin
Produit par Columbia Records
---
Spirit Of Samba, extrait de Belem, le nouvel album de Laurent Voulzy, à paraître le 1er septembre : 
---
Abonnez-vous à la chaîne Vevo officielle de Laurent Voulzy : ...
---
Retrouvez Laurent Voulzy sur :
Site officiel : 
Facebook : 
Instagram : ...";tutoriel; 
116;gYnKBKeaGXk;Roue libre vtt - Conseils et tutoriel pro - 299;"Tutoriel roue libre vtt - Comment démonter sa roue libre de vtt pour son entretien ? Ici Cyril du magasin bicycle store vous montre comment sortir la cassette de la roue arrière de votre vtt, puis sortir le disque, pour enfin avoir accès à l'axe et moyeu. Ensuite, il sort le corps de roue libre pour changer les roulements à billes.

Vous pouvez contacter Cyril via le site du magasin : 

Contactez-moi par mail pour toute question. 

Abonnez-vous sur ma chaîne YOUTUBE :


Contactez-moi par email :
maximilien@clubvtt.com

Bien sportivement
Maximilien DUPREY";tutoriel;  bonjour cyril merci de me recevoir ici chez bicycle store à saint gély du fesc tu vas nous faire un petit tuto cassette alors ya un problème sur cette roue cas cette roue libre oui c'est ça ben voila merci nous accueillir chez basique la star ac j'ai dû fesses donc aujourd'hui on va travailler sur le corps de roue libre je vais d'abord démonter la cassette et après on va travailler sur le corps de roue libre super alors tu vas nous montrer comment on sent la cassette ensuite tu va nous montrer quel est le problème justement sur ce ce mois yeux c'est trop libre elle bouge je crois si j'ai bien compris oui elle a un petit peu de jeu donc on va regarder ce qui se passe super on y va allez c'est parti tu vas nous présenter quels sont les outils à utiliser finalement pour sortir la cassette oui donc voilà il y en aura besoin d'un fouet pour tenir la cassette et d'une clé pour te pour desserrer les crew qui tient la casse est ok on y va donc voilà une fois que la crise était démontée on s'aperçoit que c'est vraiment le corps de roue libre qui a du jeu donc on va devoir le démonter pour voir ce qui se passe pour démonter ce corps de roue libre il va falloir enlever le disque donc c'est un disque s internautes dont vous utilisez la clé pour démonter la cassette c'est la même donc on va démonter le disque enlevé la petite coupelle et après on va devoir taper pour enlever le corps de roue libre et la caisse complet voilà le système de fixation c'est quoi c'est une fixation as interlock donc c'est ses notes fixation que le citron pour fixer le disque sur le moyeu mais voilà donc là on enlevait la kz1 corps de roue libre en même temps donc on s'aperçoit bien que le jeu est vraiment encore dans le corps de julio donc va falloir encore tout démonter voilà une fois le corps d'euros livre sorti de lax on s'aperçoit que c'était le roulement du corps de roue libre qui était mort donc il va falloir changer donc voilà donc là je me retrouve devant la boîte là vous nous avons les corps de roue libre donc il ya plusieurs types de corps de roue libre donc nous avons les cordes rolim shimano donc comme il y avait sur la roue et après sur les vélos de route nous avons les campagnolo donc ce n'est pas du tout la même forme de corps d'euroligue donc il va falloir trouver le bon ok on voit que celui là il est il est bien attaquer là sur l'île est un petit peu marquée par la casse est en fait comme il avait du jeu la casse et devient frotter l'incessant et non en fait c'est quand vu que la chaîne force un peu sur la cassette il suffit que la cassette soit un petit peu desserré et du coup bah ça marque vite le corps de roue libre vu qu'il est en alu donc là voilà je viens de démonter les deux roulements du corps d'euroligue donc à un roulement intérieur un roulement extérieur donc en fait y'a le roulement intérieur qui a explosé donc les billes ont attaqué la bac d u donc va falloir changer la bac d huez les de roulement et après le corps de roue libre sera remis à neuf faudra bien tout nettoyer les cliques et maître de lui le fim d'aller sur les clics et pour bien que sa tournée voilà tout sera neuf ok mais on va voir ça super donc une fois qu'on a changé ce roulement à billes et cette petite bague qu'est ce qu'on va faire ensuite donc une fois qu'on a changé le déroulement donc les de roulement externe et interne du corps de roue libre la bac d u on enfile tout donc dans le corps de roue libre une fois que tout est renforcée on remonte la cassette avec un petit peu de graisse sur le corps de roue libre on serre la cassette ensuite on remonte le disque et la rue est prête à rouler merci cyril pour ce tutoriel au sujet du jeu dans ce corps de roue libre merci beaucoup merci maximilien et à bientôt pour un prochain tuto super merci
117;GP2BtsJ293;;"Tous les séjours plongée à l'UCPA : http://bit.ly/UCPA-Plongée

Facebook : https://facebook.com/UCPAvacances
Twitter : 
Instagram : ";tutoriel; 
118;QYMo-uLw5Ug;Comment utiliser le ‘Traffic Jam Assist’ I Tutoriel I Volkswagen;"Description :

Pour savoir comment utiliser le ‘Traffic Jam Assist’ et connaître ses spécificités, regardez ce tutoriel vidéo.

Découvrez plus d'innovations Volkswagen : 

Développer vos performances grâce au programme Driving Experience : 

Facebook :  Twitter :  Instagram : 

À propos du ‘Traffic Jam Assist’ :

Cet assistant de conduite dans les embouteillages (jusqu’à 60 km/h) maintient le véhicule au centre de sa voie. Le système maintient également la distance avec le véhicule qui le précède en intervenant sur les freins et l’accélérateur. Le système prend aussi en charge l’arrêt complet du véhicule puis le redémarrage.

Les technologies d’aide à la conduite ne dispensent pas le conducteur d’être vigilant.

Apprenez-en plus sur les bénéfices du ‘Traffic Jam Assist’ grâce à cette vidéo de présentation : 

Découvrez toutes nos vidéos : 

Les technologies d’aide à la conduite ne dispensent pas le conducteur d’être vigilant.";tutoriel;  franchement je suis amoureux de ta voiture tu pas m'offrir alors si avec plaisir mais ce n'est pas la mienne c'est celle de mon boss il me l'a prêté pour le week-end d'ailleurs s'il te plaît fais attention il ya du monde sur la route la fin cap paillat le traffic jam assist de quoi le trad peut depuis compter un expert auto toi tu viens que tu m'avais parlé des avantages de la ccl qui permet d'adapter sa vitesse en fonction la voiture qui le précède tout à fait tu m'avais parlé aussi du lane assist qui corrige automatiquement la trajectoire pour bien rester dans avoir exactement eh bien le traffic jam à 6 et une combinaison ces deux technologies ça permet de conduire en toute sécurité dans un embouteillage je te qu plus ni des pédales ni du volant ok mais combinaison des deux pas mal alors le trafic des massifs fonctionne de 0 à 60 kilomètres/heure ça facilite la conduite au ralenti dans un embouteillage ou comme ici à la broche d'arreau ports dimm en plus ils surveillent la voiture qui le précède et déclenche automatiquement un freinage ou une accélération et en parallèle il corrige sa trajectoire pour bien rester au son de ta voix est alors comment tu mets tout ça en place monsieur je fais le malin tu vas dans ton système d'infodivertissement accord s'appuie sur véhicule pas réglages système d'aidé à la conduite et là tu vérifies que la cc et le lay massy sont activés le cas et ensuite tu gères tu as vitesse avec le bouton 7 comme tu l'avais expliqué pour la cc et là tu vois bien que le logo lane assist et à cesser son verre ça veut dire que le trafic des massifs fonctionne franchement tu m'impressionnes 1 alors petite question sager donc l'embouteillage mais si tu veux changer de voie tu fais comment eh bien tu mets ton clignotant il trafique j'ai ma 6e mais en stand by temporairement pas mal alors par contre est bien attention ça gère pas les voitures qui arrivent sur le côté comme celle là je l'avais vue bon franchement tu m'a bluffé l'accusé depuis que j'ai mon permis je regardais plutôt très bien fait sur la chaîne youtube volkswagen c'est plutôt qu'un avant je suis pas fan du brun quoi le beau gosse là non même le petit gros a le plus élégant des deux noms le dire on doit pas regarder les mêmes tutoie là
119;fF4jy-DJlPU;Comment dessiner un Cerisier Japonais [Tutoriel];"Comment dessiner un arbre : Cerisier Japonais / Sakura
ça reste assez simple, j'espère que ces deux modèles vous plairont..

Ma chaîne et mes autres tutos : 
Matériel: crayon, gomme, estompe, pastel, promarker

Support & News FB : 
Web Site :  

Creation 

Please like and share if you appreciate ! Thanks for the support, and for stopping by!
TAGS:
dessin japonais, tutoriel japon, tutoriel arbre japonais, cerisier japonais dessin";tutoriel;  bonjour à tous on se retrouve pour un nouveau petit tutoriel en été je vais vous montrer comment dessiner simplement et rapidement cerisiers japonais ou sakura dans le plus utilisé pour les désigner je vais en dessiner deux et les deux d'un style assez simplifiée par contre le premier je vais le faire sur du carton ça nous permet de voir et de tester d'autres supports et je trouve le carton de très intéressant pour les couleurs claires qui ressortent très bien donc je commencer d'abord par un troll à savoir que le tronc n'est pas forcément droit un peu comme les bonnes zain après avoir dessiné le tronc et la base du tronc mausole je fais des branches principales qui partent du tronc ses branches reste assez épaisses et ensuite je rajoute des branches secondaires qui elles sont par contre plus petit et commence à partir de nos branches principales ainsi de suite maintenant je vais donner du volume aux trains et aux branches rajoutant à l'aide d'un pastel noir une masse sombre sur tout les partis de droite de l'arbre bien sûr si on admet que la lumière provient de gauche par exemple ensuite je vais ajouter des couleurs avec du polychrome os ou pastel sec je mélange un peu le rebord du noir avec du beige et puis je viens avec du pastel blanc pour mélanger l'extrémité du beige avec du blanc donc le côté gauche de l'arbre sera bien blanc contrairement côté droit qui sont rares ça nous donne un bon effet de relief très simple à faire maintenant les feuilles il n'y a rien de plus simple je prends un outil rose pastel crayon feutre voir paint tu as aussi et je vais regrouper plein de petits points un peu autour des petites branches vous pouvez également ajouter des petits points rouges oranges et noires pour donner plus d'effet pour varier les couleurs et pour donner un effet cadre vous pouvez par exemple faire un carré noir autour de votre dessin et colorié l'extérieur avec une couleur plus foncée pour le carton par exemple maintenant on va faire la même chose mais sur du papier donc je fais mon tronc mais branches et mes branches secondaires je colorie l'intérieur en noir et je refais des petits pois roses au feutre autour des petites branches surtout vers les pointes de ses branches donc vers les pointures en général plus de masse soit peu plus réaliste là aussi par exemple se rajouter du rouge peu de beige et je vais même en rajouter du belge par dessus mais fun et est allé avec mon estompe mon doigt pour donner à l'arbre une sorte d'aura on peut petite touche parfumé qui peut être sympa ensuite vous pouvez faire ce que vous voulez ajouter du texte des couleurs paysage en tout cas j'espère que ce petit tutoriel vous a plu n'hésitez pas à essayer chez vous c'est vraiment très simple et pour une fois j'ai lancé un concours de dessins sur ma chaîne tuto art si ça vous intéresse vous pouvez aller la visiter et voir sa durée et sur ce je vous dis bonnes vacances à ceux qui partent en vacances sinon à très bientôt
120;Vv9_wWqO7;Comment créer une page Facebook professionnelle - Tutoriel;"Comment créer une page Facebook professionnelle. Tutoriel simple sur la création d'une page d'entreprise sur Facebook en 2016 en trois étapes faciles. 

Article relié à cette vidéo : 

Bonjour, c’est Gab en direct de chez Tonik Web Studio. Aujourd’hui, nous allons voir comment créer une page Facebook pour votre entreprise en 3 étapes.

Étape 1 de la création de votre page Facebook professionnelle 

Rendez-vous sur une page Facebook quelconque. Dans mon cas, je vais débuter à partir de la page Facebook de Tonik Web Studio. Vous pouvez voir en bas à gauche, il y a le bouton créer une page. Cliquez dessus simplement. Maintenant, vous devez choisir la catégorie de votre page. Pour notre exemple, je vais créer une page pour un commerce imaginaire qui servira d’exemple. Indiquez le nom de votre page, acceptez les conditions et cliquez sur démarrer. 

Étape 2 de la création de votre page Facebook professionnelle 

Vous devez rentrer les informations de base de votre page. Il est important de compléter les informations demandées par Facebook. Cela vous aidera plus tard pour la crédibilité de votre page. Si vous ne savez pas quoi mettre, sachez qu’il est possible de venir le modifier plus tard. De plus, Facebook va vous proposer de créer une adresse personnalisée. Créez une url personnalisée sera important plus tard pour votre référencement SEO. Sachez aussi que cette url personnalisée pourra vous aider plus tard pour la publication et diffusion de votre page. 

Facebook vous demandera ensuite de choisir une photo de profil. Vous pouvez soit l’importer de votre ordinateur ou d’un site web. Je vous recommande de l’importer directement de votre ordinateur. Au minimum, vous devez envoyer une photo de profil qui fait 180 par 180 pixel. Si vous n’avez pas de photo de profil pour l’instant, vous pouvez ignorer et revenir l’ajouter plus tard. 
Enfin, Facebook vous propose d’ajouter la page dans vos favoris. Cliquez oui et comme cela il sera plus simple pour vous d’effectuer le suivi du développement de votre page. 
Voilà, votre page Facebook est prête. 

Étape 3 de la création de votre page Facebook professionnelle 

Maintenant que votre page a été créée, évidemment il faudra y ajouter du contenu. Une image de couverture, une photo de profil si ce n’est pas déjà fait et une première publication. Par la suite, tout ce qu’il vous reste à faire est de diffuser votre page et vous trouver des abonnés. 
Voici ce qui conclut comment créer une page Facebook Professionnelle. Au plaisir de vous revoir la semaine prochaine mes tonifiés !

N’hésitez pas à commenter, aimer la vidéo et à vous abonner à notre chaîne! Cette vidéo est une réalisation de Tonik Web Studio, Création de site internet et stratégie marketing à Gatineau. Tonik Web Studio offre des solutions stratégiques clé en main pour le succès de votre PME sur le web. Pour en savoir plus, visitez www.tonikwebstudio.com

Les P’tites vites de Tonik – Vlog – Soyez le premier sur Google en cinq minutes par semaine 


Blog Web Techno et Actualités Internet - Tonik Web Studio


Rejoignez-nous sur les médias sociaux! 
Facebook: 
Twitter: 
LinkedIn: 
Instagram: 
Pinterest: 
Behance: 

Lien connexe 


Recherches Associées ; 
Comment créer une page Facebook professionnelle
Comment créer une page Facebook 
Créer une page Facebook professionnelle
Créer une page Facebook 
Créer une page Facebook 2016
créer une page facebook pro
créer une page facebook pour une association
comment créer une page facebook public
page facebook tutoriel 
créer une page fb

Découvrez les conférences Marketing d'Alain Filiatrault ";tutoriel; 
121;lrtjdXj2uE8;Tutoriel - L'architecture au premier coup d'oeil;"Vos connaissances architecturales se limitent aux conseils déco de « Maison à vendre » ? Rassurez-vous, grâce à cette vidéo, vous saurez reconnaître et apprécier du premier coup d’œil l’architecture d’un bâtiment et le replacer dans son époque… Et en prime, vous pourrez enfin différencier une colonne dorique, d’une ionique ou d’une corinthienne. N’est-ce pas magnifique ? 

Le MOOC une brève histoire de l’art est proposé, du 24 avril 2017 au 23 juillet 2017, par la RMN-Grand Palais et Orange. Ces cours gratuit en ligne ouvert à tous permettent d’explorer les multiples évolutions qui ont eu lieu dans l’histoire de l’Art de la Renaissance au XXe siècle. 

Pour accéder au MOOC : ";tutoriel;  L’architecture au premier coup d’œil  Tout d'abord, quelques clefs pour reconnaître les styles.  L’architecture antique, grecque et romaine se définit par l’ordre qui est un système de proportions autant qu’un style. Les trois principaux sont : L’ordre Dorique, le plus simple dans son décor. Le Ionique, le chapiteau de la colonne se distingue par ses volutes Le Corinthien, le plus orné des trois, présente sur son chapiteau des feuilles d’acanthes. L’architecture romane (XIe-XIIe siècle environ) se définit par ses arcs plein cintres, ses proportions équilibrées, son décor sculpté aux formes stylisées  L’architecture gothique (XII-XVe siècle environ) se caractérise par des arcs brisés, des proportions élancées, des ouvertures plus larges  L’architecture renaissance (XV-XVI), classique (XVII-XVIII), néoclassique (fin du XVIIIe) fait référence aux ordres antiques, et recherche la régularité, l’équilibre et la symétrie. L’architecture baroque et roccoco (XVII-XVIII) fait également référence à l’antique,  avec une dynamique de courbe et contre-courbe, d’emboitement, de théatralité et de décor parfois foisonnant  L’architecture art nouveau (fin XIX- début XX) possède des formes souples, ondulantes et élancées, inspirées de la végétation. L’architecture art déco (1910-1930) signe un retour à plus de sobriété dans la décoration avec des formes géométriques plus droites et régulières.  Le mouvement moderne enfin, né au lendemain de la première guerre mondiale, propose un certain dépouillement. Les surfaces vitrées se développent et des formes géométriques très épurées apparaissent.   Mais à propos, comment regarder une architecture ? Le premier élément que l’on perçoit d’une façade c’est son envergure qui d’emblée signale l’importance de l’édifice et de ce qu’il abrite. Il faut s’intéresser ensuite au matériaux utilisés pour construire le bâtiment. Si certains matériaux comme, le bois, la brique et la pierre sont utilisés dans la construction depuis l’Antiquité,  d’autres comme le métal, le verre et le béton ne s'utilisent massivement qu'à partir du milieu du XIXe siècle. On s’interroge ensuite sur la forme du mur de façade. Présente-t-elle un tracé rectiligne, ou un tracé plus élaboré avec des décrochements, des courbes, des contre-courbes ? Certains éléments sur la façade sont-ils en retraits, en saillie, ou en surplomb ? Observez également le dessin des ouvertures quadrangulaires, partie supérieure en arc, plein cintre ou brisé… et le rythme de leur disposition régularité ou irrégularités, symétrie, temps forts… Se dégage-t-il de la façade une impression d’opulence ou au contraire de sobriété ? Y-a-t-il éléments architecturaux qui animent la géométrie de la façade comme des arcades, des pilastres, des moulures, des tables, des frontons…? Intéressez-vous au couronnement de la façade. Le toit est-il caché ou bien visible, sa forme participant à la composition générale de l’édifice ? Y a t-il des sculptures,  une balustrade,  un fronton ?  Pour finir, soyez  attentif au traitement réservé à l’entrée le portail, le porche,  le portique à colonnade, le péron, voire l’escalier... Elle fait souvent l’objet d’un décor porteur d’un message  et de symboles qui font écho à la fonction du bâtiment. Allégorie de la justice sur un palais de justice, blason, armes de famille sur un hôtel particulier... 
122;lwnjnjv4I8I;Renault CLIO - TUTORIEL - LE TABLEAU DE BORD;"Dans cette vidéo nous allons vous apprendre à maîtriser le tableau de bord de votre Renault CLIO ! 

Pour plus d'informations rendez-vous ici : https://www.renault.fr/vehicules/vehi...

Suivez-nous sur nos réseaux sociaux : 

- Facebook : 
- Twitter : ";tutoriel;  [Musique] le tableau de bord répertorie les informations essentielles à votre conduite il est principalement composé d'un indicateur de vitesse d'un contour et d'un indicateur de niveau de carburant ils vous informent de l'état de fonctionnement de votre véhicule et vous alerte en cas d'anomalie d'une manière générale un témoin qui s'affiche en rouge nécessite l'arrêt de votre véhicule dès que les conditions de circulation le permettent un voyant qui s'affiche en orange demandent une intervention de votre part ou de celle d'un représentant de la marque l'ordinateur de bord quant à lui regroupe et affiche des informations utiles à votre âge et vous pouvez par exemple connaître votre distance parcourue votre vitesse moyenne et consommations moyennes ou encore votre autonomie prévisible en fonction de votre itinéraire pour faire défiler les informations il vous suffit d'effectuer les appuis successifs et bref sur ce bouton l'ordinateur de bord vous avertit également par le biais d'un message ou d'un symbole et d'éventuelles anomalies de fonctionnement
123;KS1Mgx8QE6;Tutoriel Entoiler Thermocoller;"Un peu de vocabulaire, une touche de démonstration et ces mots deviennent évidents. Plus d'infos en dessous.



En couture comme ailleurs, il y a du vocabulaire technique. Pour comprendre les explications et progresser, c'est mieux d'avoir les bons mots pour savoir de quoi on parle.

Fer à repasser: 
Le thermocollant et l'entoilage s'achètent en mercerie.

► Pour être averti(e) de la sortie de mes nouvelles vidéos, n'hésitez pas à vous abonner.

★ Vous pouvez me retrouver ici:

Blog : 
Facebook : 
Hellocoton : 
Chaine Youtube : 
Instagram: 
Twitter: 
Tipeee : 

Les musiques sont libres de droit (Youtube ou musiquelibrededroit.com (licence d'exploitation standard)).
Les dessins sont réalisés par JPtom: 

Merci d'avoir regardé cette vidéo.

Que la Grande Aiguille veille sur vous

★ O'Kryn ★";tutoriel; 
124;AfCgyk;Tutoriel Premiere Elements 14 : S'initier au montage vidéo avec Premiere Elements | video2brain.com;"Formation complète : http://bit.ly/1MVm84G

Votre formateur Daniel Barrois vous présente le logiciel et ce qu'il est capable de faire, aussi bien au niveau de l'image que du son.

Ce tutoriel est un extrait de la formation intitulée Découverte de Premiere Elements 14, réalisée par le formateur expert Daniel Barrois chez video2brain.com.";tutoriel; 
125;CSJqyQlRT;Tutoriel - Carte Cliiink;"Cliiink est le premier programme de récompense du geste de tri en France ! Pour chaque contenant trié, vous cumulez des points, échangeables contre des bons d'achat ou des dons à des associations.

Pour utiliser Cliiink, 2 possibilités : télécharger l'application mobile gratuite Cliiink, ou alors demander votre carte Cliiink en mairie.

Découvrez le tutoriel d'utilisation de votre carte Cliiink : comment se connecter à la borne Cliiink, trier son verre et reconnaître les différents voyants lumineux, où poser sa carte Cliiink, comment se déconnecter.

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Music: Clover 3 by Vibe Mountain
Video Link: ";tutoriel; 
126;UQnZNYDGZ3;Le tutoriel du kiosque;"L’Onisep modernise le kiosque en valorisant ses publications papier et sa production numérique.
Notre mission est de vous aider dans cette nouvelle démarche en réaménageant avec vous l’espace kiosque sans coût supplémentaire. 
L'Onisep vous propose une réorganisation de l’offre, des ressources disponibles, pour une meilleure utilisation par les élèves et les équipes éducatives.";tutoriel; 
127;LjJ752kAB;Mediawiki (tutoriel n°1/4) : Créer une page;"Ecrire un article dans Mediawiki
Tutoriel n°1/4 : Créer une page

Lien vers la formation : 

Sur  , retrouvez:
- les sessions programmées
- le catalogue des stages par modules
- comment s'inscrire";tutoriel; 
128;GG3mjmUm920;Tutoriel FreeMind : créer des cartes mentales;Ce tutoriel est réalisé pour le logiciel FreeMind, il n'y a pas besoin de son pour suivre, dont une utilisation aisée en classe.;tutoriel; 
